Nombre,Dirección,Localidad,Teléfono,Horario,Precio,Página web,Contacto,Correo electrónico,Observaciones,Perfil 1,Perfil 2,Foto
Escultura Nave Espacial,AC 26 KR 13A PLAZOLETA CENTRO DE CONVENCIONES GONZALO JÍMENEZ DE QUESADA,Santa Fe,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,"Autor: Eduardo Ramírez Villamizar, Inauguración: 17 de abril de 1980 BICD - Resolución 0035 de 2006",Cultural,Mochilero,
Escultura Pepe Cáceres,KR 6 # 26 - 50,Santa Fe,283 74 33,"Se permite el acceso a extranjeros , universidades, colegios de 8:00 A.M. a 5:00 P.M.",NA,NA,NA,NA,La escultura se puede apreciar en la plaza de toros la santa María ,Cultural,Mochilero,
Escultura Puerta de Bronce - Palacio Arzobispal,AVENIDA CARRERA 7 # 10 - 20,Candelaria,NA,NA,NA,NA,NA,NA,Ninguna,Cultural,Mochilero,
Escultura Rita 5:30 P.M.,KR 7 CL 39 ESQUINA PARQUE NACIONAL ENRIQUE OLAYA HERRERA,Santa Fe,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,"Autor: Enrique Grau Araújo, Inauguración: 18 de diciembre de 2000 BICD - Resolución 0035 de 2006",Cultural,Mochilero,
Escultura Señor Caído de Monserrate - Basílica Santuario del Señor de Monserrate,"KR 2 ESTE # 21 - 48 PUNTO PARA SUBIR: ESTACIÓN FUNICULAR, TELEFÉRICO O SENDERO",Candelaria,NA,Aplica horario de atención del templo,NA,NA,NA,NA,Ninguna,Cultural,Mochilero,
Escultura Virgen de Guadalupe . Nuestra Señora de Guadalupe,CERRO DE GUADALUPE,Cerro de Guadalupe,NA,Aplica horario de atención del templo,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,"Autor: Gustavo Arcila Uribe, Inauguración: 14 de julio de 1946 ",Cultural,Mochilero,
Esculturas Avenida Eldorado,AC 26 ENTRE AEROPUERTO ELDORADO Y AK 68,Fontibón,NA,NA,NA,NA,NA,NA,Ninguna,Cultural,Mochilero,
Estación de La Sabana - (Actual salida Tren de La Sabana),CL 13 # 18 - 24,Los Mártires,375 05 57 - 375 05 58 - 316 13 00 Turistren,"Itinerario de salidas Turistren:  Sábados, Domingos y Festivos Sale a las 8:15 A.M.","Tarifas Turistren: Adultos$55,000, Mayores de 70 años $ 48,000, Niños de 3 a 12 años $48,000",www.turistren.com.co,Jefferson Martínez (gestor administrativo Turistren),servivioalcliente@turistren.gov.co,"La edificación como tal es administrada por contrato entre varias entidades, sobresalen en ella en tema turístico Turistren, la información de validación de información se realiza con esta entidad",Ocio,Cultural,
Estación del Ferrocarril de Bosa,AUTO SUR ENTRADA PRINCIPAL BOSA,Bosa,NR,NR,NR,NR,NR,NR,NR,Ocio,Cultural,
Estación del Ferrocarril de Usaquén - (Actual punto recogida pasajeros Tren de la Sabana),AK 9 # 110 - 08 ,Usaquén,375 05 57 - 375 05 58 - 316 13 00 Turistren,"Itinerario de salidas Turistren:  Sábados, Domingos y Festivos Sale a las 9:15 A.M.","Tarifas Turistren: Adultos$55,000, Mayores de 70 años $ 48,000, Niños de 3 a 12 años $48,000",www.turistren.com.co,Tatiana Mayorga ( Asistente Administrativo),Tmayorga@turistren.com.co,Ninguna,Ocio,Cultural,
Estación del Ferrocarril de Usme,VEREDA LA REQUILINA,Usme,NR,NR,NR,NR,NR,NR,Ninguna,Ocio,Cultural,
Estadio Nemesio Camacho El Campin ,KR 30 # 57 - 60,Teusaquillo,235 65 77,"Horario de Atención para Visitas Guiadas: Lunes, Martes, Jueves 8:00A.M.-11:00A.M.-2:00P.M.-5:00P.M. No atención festivos. Las visitas guiadas las maneja el IDRD","Recorrido guiado gratuito
Ingresos a partidos, según programación",www.idrd.gov.co/sitio/idrd/node/516,Rhin Chinchilla,estadioelcampin@idrd.gov.co,Para reserva de los recorridos guiados escribir al correo estadioelcampin@idrd.gov.co,Ocio,Cultural,
Estatua  George Washington,KR 6 CL 26 PLAZOLETA FRENTE A LA IGLESIA DE SAN DIEGO,Santa Fe,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,"Autor: Luis Pinto Maldonado, Inauguración: 11 de mayo de 1963 ",Cultural,Mochilero,
Estatua Antonio José de Sucre,"KR 11 CL 63A y 64, PLAZOLETA ADYACENTE AL PARQUE LOURDES",Chapinero,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,"Autor: Charles Raúl Verlet, Inauguración: 21 de julio de 1912 BICD - Resolución 0035 de 2006
BICNAL - Resolución 0395 de 2006",Cultural,Mochilero,
Estatua Antonio Nariño,CARRERA 8 NO 7 - 26 PLAZA DE ARMAS DE LA CASA DE NARIÑO,Candelaria,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co , BICNAL - Resolución 0395 de 2006,Cultural,Mochilero,
Estatua Benito Juárez,KR 11 CL 77 PARQUE EL NOGAL,Chapinero,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,"Autor: Desconocido, Inauguración: 16 de septiembre de 1938 ",Cultural,Mochilero,
Estatua Camilo Torres,CL 10 KR 7 PLAZOLETA DEL COLEGIO DE SAN BARTOLOMÉ,Candelaria,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,"Autor: Charles Raúl Verlet, Inauguración: 20 de julio de 1960 

BICNAL - Resolución 0395 de 2006",Cultural,Mochilero,
Estatua Francisco de Paula Santander,CL 15 y 16 KR 6 y 7 PARQUE SANTANDER,Santa Fe,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,"Autor: Pietro Costa, Inauguración: 06 de mayo de 1878 escultura:
BICD - Resolución 0035 de 2006
BICNAL - Resolución 0395 de 2006",Cultural,Mochilero,
Estatua Francisco José de Caldas,KR 7 CL 21 PLAZOLETA DE LAS NIEVES O PLAZA DE CALDAS,Santa Fe,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,"Autor: Charles Raúl Verlet, Inauguración: 06 de agosto de 1910 BICD - Resolución 0035 de 2006
BICNAL - Resolución 0395 de 2006",Cultural,Mochilero,
Estatua Gonzalo Jiménez de Quesada,AV JIMENEZ KR 6 PLAZOLETA UNIVERSIDAD DEL ROSARIO,Candelaria,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,"Autor: Juan de Ávalos, Inauguración: 6 de agosto de1960 BICD - Resolución 0035 de 2006",Cultural,Mochilero,
Estatua José de San Martín,KR 7 CL 31,Santa Fe,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,"Autor: Reproducción de la Estatua ecuestre de Joseph Louis Daumas, Inauguración: 20 de mayo de 1941 BICD - Resolución 0035 de 2006",Cultural,Mochilero,
Estatua La Pola - Monumento Policarpa Salavarrieta,EJE AMBIENTAL KR 2A,Candelaria,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,"Autor: Diónesio Cortés, Inauguración: 29 de julio de 1910 BICD - Resolución 0035 de 2006",Cultural,Mochilero,
Estatua Manuel Murillo Toro,KR 8 CL 12 y 13 TERRAZA POSTERIOR DEL EDIFICIO MANUEL MURRILLO TORO,Candelaria,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,"Autor: Charles Raúl Verlet, Inauguración: 01 de enero de 1920 BICNAL - Resolución 0395 de 2006",Cultural,Mochilero,
Estatua Rafael Núñez,CL 10 # 7 - 51 PATIO SUR CAPITOLIO NACIONAL,Candelaria,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,"Autor: Francisco Antonio Cano, Inauguración: 5 de agosto de 1922 BICD - Resolución 0035 de 2006",Cultural,Mochilero,
Estatua Ricardo Palma,KR 2A CL 18 PLAZUELA DE LA IGLESIA DE NUESTRA SEÑORA DE LAS AGUAS,Candelaria,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,"Autor: Fundición Bruno Campagniola, Inauguración: 28 de junio de 1968 ",Cultural,Mochilero,
Estatua Rufino José Cuervo,CL 10  KR 6 y 7 PLAZUELA DE SAN CARLOS,Candelaria,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,"Autor: Charles Raúl Verlet, Inauguración: 17 de julio de 1914 BICD - Resolución 0035 de 2006
BICNAL - Resolución 0395 de 2006",Cultural,Mochilero,
Estatua San Francisco de Asís,CL 72 KR 11,Chapinero,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,"Autor: Fernando Montañez, Inauguración: 15 de octubre de 1983 ",Cultural,Mochilero,
Estatua San Juan Bosco,KR 5 CL 8 y 9,Candelaria,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,"Autor: G. Cellini (firma que se encuentra en el costado inferior derecho del monumento, Inauguración: 17 de junio de 1934 ",Cultural,Mochilero,
Estatua Simón Bolívar,CL 10 Y 11 KR 7 Y 8 PLAZA DE BOLIVAR,Candelaria,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,"Autor: Pietro Tenerani, Inauguración: 20 de julio de 1846 BICNAL - Resolución 0395 de 2006
",Cultural,Mochilero,
Estatua Tomas Cipriano de Mosquera,CL 10 # 7 - 51 PATIO PRINCIPAL CAPITOLIO NACIONAL,Candelaria,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,"Autor: Modelada por Ferdinand Von Miller y vaciada en bronce por La Real Fundición de Munich BICD - Resolución 0035 de 2006
BICNAL - Resolución 0395 de 2006",Cultural,Mochilero,
Faenza Teatro De La Paz,CL 22 # 5 -54,Santa Fe,334 02 93,Lunes a Viernes de 8:00 A.M. a 5:00 P.M. Horario de oficina El Teatro se alquila Para eventos,NA,http://www.ucentral.edu.co/teatros/teatro-faenza,Blanca Giral ,Bgiral@ucentral.edu.co,Ninguna,Cultural,Ocio,
Feria Agroexpo,KR 37 # 24 - 67,Teusaquillo,UNAGA: 616 13 87  - CORFERIAS: 381 00 00,Varía según calendario de programación,Definido por lo organizadores,https://agroexpo.com/,NA,info@unaga.org.co,UNAGA: dirección 93bis#19-50,Negocio,Ocio,
Feria de Las Colonias,KR 37 # 24 - 67,Teusaquillo,381 00 00 Extensión 5163,Varía según calendario de programación,Definido por lo organizadores,https://feriadelascolonias.com/,Marcela Rangel Rico - Coordinadora Comercial,info@corferia.com; lrangel@forferias.com,Ninguna,Negocio,Ocio,
Feria Expoartesanias,KR 37 # 24 - 67,Teusaquillo,ARTESANIAS DE COLOMBIA: 555 03 25 - 555 03 26 - 286 17 66  . CORFERIAS: 381 00 00 Extensión 5221,Varía según calendario de programación,Definido por lo organizadores,https://expoartesanias.com/,Yuli Fernanda Jaramillo ,expoartesanias@corferias.com,"Artesanías de Colombia: cll74#11, 5550325-5550326 Lunes a Viernes de 8:00A.M.-5:00P.M.",Negocio,Ocio,
Feria Internacional de Bogotá  Exposición Industrial,KR 37 # 24 - 67,Teusaquillo,381 00 00,Varía según calendario de programación,Definido por lo organizadores,https://feriainternacional.com,Esteban Rodríguez - Coordinador Comercial ,"info@corferia.com, wrodriguez@corferias.com",Ninguna,Negocio,Ocio,
Feria Internacional del Libro de Bogotá,KR 37 # 24 - 67,Teusaquillo,CAMARA COLOMBIANA DEL LIBRO: 323 01 11  -  CORFERIAS: 381 0 000 Extensión 5104,Varía según calendario de programación,Definido por lo organizadores,https://feriadellibro.com,Deisy Ángel - Coordinadora Comercial ,"info@corferias.com, dangel@corferias.com",Ninguna,Negocio,Cultural,
Feria Internacional Foot Leather & Leather Show,KR 37 # 24 - 67,Teusaquillo,286 40 0 Fax 341 89 95,Varía según calendario de programación,Definido por lo organizadores,www.ifls.com.co,NR,NR,"Prohibido el ingreso a menores de edad, la Feria va dirigida a empresarios,  no se realizan ventas.  ACICAM (asociación colombiana de industriales de calzado ) crr4a#26a-71",Negocio,Ocio,
Festival de Cine de Bogotá,VARIAS LOCALIDADES,NA,545 69 87,Varía según calendario de programación,Definido por lo organizadores,http://bogocine.com/,NA,bogovision@bogocine.com,Ninguna,Cultural,Mochilero,
"Festival de la Chicha, la vida y la dicha","
BARRIO LA PERSEVERANCIA",Santa Fe,NA,Varía según calendario de programación,NA,NA,NA,NA,Ninguna,Cultural,Mochilero,
Festival Iberoamericano de Teatro,VARIAS LOCALIDADES,NA,795 74 57,Varía según calendario de programación,Definido por lo organizadores,https://www.festivaldeteatro.com.co/,NA,NA,Ninguna,Cultural,Ocio,
Festival Internacional de Jazz,VARIAS LOCALIDADES,NA,379 57 50,Varía según calendario de programación,NA,http://www.jazzalparque.gov.co/,NA,NA,Ninguna,Cultural,Mochilero,
Festival Internacional de Teatro Rosa,VARIAS LOCALIDADES,NA,605 15 28,Varía según calendario de programación,Definido por lo organizadores,http://www.barracateatro.com/sala/festival-internacional-teatro-rosa,NA,NA,Ninguna,Cultural,Ocio,
Festival Rock al Parque,PARQUE METROPOLITANO SIMÓN BOLÍVAR (DIFERENTES ESCENARIOS),Teusaquillo,379 57 50 Extensión 4502 ,Varía según calendario de programación,Definido por lo organizadores,http://www.rockalparque.gov.co/,Giovanna Chamorro Ramírez - Gerente de Música,contactenos@idartes.gov.co,Ninguna,Cultural,Mochilero,
Fiesta de Los Reyes Magos,BARRIO EGIPTO,Candelaria,NA,Varía según calendario de programación,NA,NA,NA,NA,Ninguna,Cultural,Mochilero,
Fiesta del 6 de Agosto ,VARIAS LOCALIDADES,NA,NA,Varía según progrA.M.ación de actividades,NA,NA,NA,NA,Ninguna,Cultural,Mochilero,
Florero de Llorente (Museo de la Independencia),AK 7 #11 - 28 ,Candelaria,NA,NA,NA,NA,NA,NA,Ninguna,Cultural,Ocio,
Fuente del Mono de la Pila (replica),KR 7 CL 27,Santa Fe,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,Autor: Luis Alberto Acuña ,Cultural,Ocio,
Fuente El Mono de la Pila,KR 6 # 9 - 77 MUSEO DE ARTE COLONIAL,Candelaria,NA,NA,NA,NA,Ingrid Duarte Pinto - Arquitecta Contratista - 3795750 Extensión 902,ingrid.duarte@idpc.gov.co ,Autor: Anónimo BICNAL - Resolución 0395 de 2006,Cultural,Ocio,
Hayuelos Centro Comercial y Empresarial,CL 20 # 82-52,Fontibón,354 60 36,Lunes a Domingo de 8:00 A.M. a 10:30 P.M.,NA,www.hayueloscc.com,Azucena Forero - Gerente Administrativa,administracion@hayuelos.com,Ninguna,Ocio,Negocio,
Hotel Casa Medina - FOUR SEASONS HOTEL CASA MEDINA BOGOTA,KR  7 # 69A - 22,Chapinero,325 79 00,24 Horas 7 días a las semana si son huéspedes ,NA,http://www.fourseasons.com/es/bogotacm/,NA,reservations.BIH@fourseasons.com,Ninguna,Ocio,Negocio,
Hotel de la Opera,CL 10 # 5 - 72,Candelaria,336 20 66,Oficina de 9:00 A.M. a 5:00 P.M. . Reservas 24 Horas en línea,NA,hotelopera.com.co,Grupo de Coordinación,sales@hotelopera.com.co,Ubicado en la Calle del coliseo,Ocio,Negocio,
Humedal Chorrillos,VEREDA CHORRILLOS,Vereda Chorrillos,NR,NR,NR,NR,NR,NR,Ninguna,Mochilero,Ocio,
Humedal Jaboque,KR 101 y RIO BOGOTÁ  CL 67 y CL 75,Engativa,321 430 51 92,Lunes a Domingo de 7:00 A.M. a 5:00 P.M.,NA,www.ambientebogota.gov.co/humedales,Iván Gómez - 3214305192,humedales@ambientebogota.gov.co,Dado que en otros humedales no han permitido el ingreso y/o no se ubica al administrador se realiza solicitud de información a través de correo Electrónico. 04/09/2017,Mochilero,Ocio,
Humedal Meandro del Say,"KR 113 COSTADO CCCIDENTAL DE LA ZONA FRANCA
LIMITA AL NORORIENTE CON LA AVENIDA CENTENARIO, AL NOROCCIDENTE CON EL BARRIO EL RECODO, AL OCCIDENTE CON LOS PREDIOS DE LA FINCA EL SAY Y EL CAUCE DEL RÍO BOGOTÁ, Y AL SUR ORIENTE, NUEVAMENTE CON EL RÍO BOGOTÁ Y LA ZONA FRANCA EN LA LOCALIDAD DE FONTIBÓN",Fontibón,NA,Lunes a Domingo de 8:00 A.M. a 4:00 P.M.,NA,http://www.ambientebogota.gov.co/web/web-ninos/meandro-del-say,CAROLINA SALGADO RAMIREZ ADMINISTRADORA HUMEDAL CAPELLANIA,carolina.salgado@ambientebogota.go.co/carolinasalgado07@gmail.com,Ninguna,Mochilero,Ocio,
Humedal Quebrada La Vieja,CL 71 # 1 - 45,Chapinero,NR,NR,NR,NR,NR,NR,NR,Mochilero,Ocio,
Humedal Tibanica,DG 73F SUR # 78G - 45,Kennedy ,377 88 49,Lunes a Domingo de 8:00 A.M. a 2:00 P.M.,NA,NA,Angélica Rico - Administradora,ivan.marin@ambientebogota.gov.co,Ninguna,Mochilero,Ocio,
Humedal Ubaguaya,CIUDAD BOLÍVAR,Ciudad Bolívar,NR,NR,NR,NR,NR,NR,Ninguna,Mochilero,Ocio,
Iglesia de Jesucristo de Los Santos de Los Últimos Días,KR 46 # 127 - 45,Suba,625 80 00 - 633 54 84 - 633 54 20,"Sesiones de investidura: Lunes Cerrado, 6:30 a.m. (solo los miércoles); 8:30 a.m., 9:30 a.m., 10:30 a.m.; 4:30p.m., 5:30 p.m., 6:30 p.m. Sábado  7:30a.m. , 8:30 a.m., 9:30 a.m., 10:30 a.m., Lunes Festivo 7:00 a.m. 8:00 a.m., 9:00 a.m. 10:00 a.m. Baptisterio: Martes a Viernes 8:30a.m. a 11:30 a.m. y 4:30 p.m. a 7:30 p.m. Sábado de 8:00 a.m. a 12:00 m. Lunes Festivo de  8:00 a.m. a 11:30 a.m.",NA,https://www.lds.org/church/temples/bogota-colombia?lang=spa,Hermana Ivon Orjuela - Hermana Gloria Bastidas,NR,Ninguna,Religioso,Cultural,
Iglesia de La Capuchina,"KR 13 # 14 - 23, Despacho Parroquial CL 14 # 13 - 68",Santa Fe,341 04 29,"Abierta Lunes y Sábado de 10:00 a.m. a 4:00 p.m., Martes a Viernes de 7:00 a.m. a 5:00 p.m., Domingo de 8:00 a.m. a 1:00 p.m., Eucaristía: Lunes y Sábado 12:00 m., Martes a Viernes 7:20 a.m., 12:00 m., Domingo 8:00 a.m., 10:00 a.m., 12:15 m. Adoración al Santísimo todos los Martes y Viernes de 7:20 a.m. a 5:00 p.m. Horario de Despacho: Lunes a Viernes de 8:30 a.m. a 12:30 m. y de 1:30 p.m. a 5:00 p.m.",NA,www.psanvictorino.arquibogota.org.co,Stella Castro - Secretaria,psanvictorino@arquibogota.org.co,Ninguna,Religioso,Cultural,
Iglesia de La Concepción,No tiene Placa - Dirección Despacho Parroquial KR 9 # 10 - 19,Candelaria,284 60 84,"Abierta de Lunes a Sábado de 6:00 a.m. a 7:00 p.m. y Domingo de 6:00 a.m. a 1:00 p.m. Eucaristías: Lunes a Sábado 7:00 a.m., 8:00 a.m., 11:00 a.m., 12:00 m., 5:30 p.m., Domingo 7:00 a.m., 8:00 a.m., 9:00 a.m., 10:00 a.m., 11:00 a.m., 12:00 m. El Santísimo está expuesto todo el día según horario de apertura y cierre de la iglesia.",NA,http://ofmcap.co/capuchinos-en-colombia/,Rosa Chalpatar - Seminarista Guillermo Valencia,rosacheca6405@gmail.com,Ninguna,Religioso,Cultural,
Iglesia de la Medalla Milagrosa,KR 68B # 24 - 30,Fontibón,317 426 60 62,"Horario Misas: Lunes a Sábado 7:00 a.m. y 6:30 p.m., Domingo 7:00 a.m., 9:30 a.m., 12:00 m., 430 p.m., 6:00 p.m. y 7:30 p.m., Horario Despacho: Lunes a Viernes de 10:00 a.m. a 12:00 m. y de 2:00 p.m. a 6:00 p.m.",NA,http://parroquialamedallamilagrosa.com/,Fabio Enrique Tellez Amaya,correo@parroquialamedallamilagrosa.com,Ninguna,Religioso,Cultural,
Iglesia de San Agustín,CL 7 # 7 - 13 Dirección Despacho Parroquial CL 6C # 7 - 05 Convento San Agustín KR 7 # 6C - 25,Candelaria,209 60 11,"Abierta de Lunes a Sábado de 7:00 a.m. a 6:00 p.m., Domingo de 8:00 a.m. a 6:00 p.m. Eucaristías Lunes a Viernes 7:00 a.m., 12:00 m., Sábado 7:00 a.m.. Domingo 8:00 a.m., 11:00 a.m., 12:00 m., 6:00 p.m., Festivos no hay atención. Horario Despacho Parroquial: Lunes a Viernes de 9:00 a.m. a 11:50 a.m. y de 3:00 p.m. a 5:00 p.m.",NA,http://www.agustinos.co/,Sacristán Duvan Palacios - Karen Beltrán Emisora Mariana,agustinosvocaciones@gmail.com,Ninguna,Religioso,Cultural,
Iglesia de San Alfonso Maria de Ligorio,KR 28 # 39 - 27/31,Teusaquillo,368 07 01,"Eucaristías día 14 de cada mes: 5:30 a.m., 7:00 a.m., 8:30 a.m., 10:00 a.m., 11:30 a.m., 1:00 p.m., 2:30 p.m., 4:00 p.m., 5:30 p.m., 7:00 p.m., 8:15 p.m., Domingo 7:00 a.m., 8:30 a.m., 10:00 a.m., 11:30 a.m., 1:00 p.m., 2:30 p.m., 4:00 p.m., 5:30 p.m., 7:00 p.m., Celebraciones Eucaristías en Semana: Lunes a Viernes 7:00 a.m., 8:00 a.m., 12:00 m., 4:00 p.m., 4:45 p.m., 5:30 p.m., 6:15 p.m., 7:00 p.m., Sábado 7:00 a.m., 8:00 a.m., 12:00 m., 5:00 p.m. Hora Santa Primer Viernes de cada mes 11:00 a.m., todos los Viernes 3:00 p.m., Rosario de Aurora Primer Sábado de mes 6:15 a.m. Horario Despacho Parroquial: Lunes a Viernes de 8:30 a.m. a 1:00 p.m. y de 2:00 p.m. a 5:00 p.m., Sábado de 8.30 a.m. a 12:30 m. y de 1:00 p.m. a 6:30 p.m., Domingo sw 6:00 a.m. a 2:00 p.m. y de 3:00 p.m. a 7:00 p.m., Festivos de 8:00 a.m. a 4:00 p.m. Jornada Continua",NA,NA,Padre Cristián Bueno Fonseca,psanalfonsobogota@gmail.com,Ninguna,Religioso,Cultural,
Iglesia de San Critóbal,No tiene Placa - Dirección Despacho Parroquial CL 17A SUR # 3D - 81 ESTE,San Cristóbal,333 60 32 - 757 28 77,"Abierta de Martes a Viernes de 7:00 a.m. a 9:00 a.m. y de 5:00 p.m. a 7:00 p.m. Sábado de 4:30 p.m. a 8:00 p.m. Domingo de 7:00 a.m. a 2:00 p.m. y de 4:30 a.m. a 8:00 p.m. Eucaristias: Martes a Viernes 7:30 a.m. y 6:00 p.m., Sábado 5:00 p.m. y 6:00 p.m., Domingo 8:00 a.m., 10:00 a.m., 12:00 m. y 5:30 p.m. Todos los 14 de cada mes celebración del Señor de los Milagros 6:30 .am. 3:00 p.m., 6:00 p.m. Un Sábado de cada mes eucaristia a las 6:00 a.m.",NA,NA,Dora Patricia Espinosa,sancristobal_p@hotmail.com; psancristobal@arquibogota.org.co,Ninguna,Religioso,Cultural,
Iglesia de San Ignacio,CL 10 # 6 -27,Candelaria,444 25 30,NR,NA,NA,Colegio Mayor de San Bartolomé Padre Germán Bernal o Padre Camilo Quijano,NR,Ninguna,Religioso,Cultural,
Iglesia de Santa Ana,Templo: kr 16 # 33A - 01 Despacho Parroquial: kr 17A # 33A - 14 ,Teusaquillo,245 46 46 - 245 71 20,"Eucaristias:  martes a sabado 7:00A.M.-12:00P.M.-5:00P.M. Domingo  7:30.A.M.-9:00A.M.-12:00P.M.-5;00p.m.  Despacho Parroquial: martes a Viernes de 9:00a.m.-12:00p.m. y 2:00 p.m. a 5:00 p.m., Sábado de 9:00 a.m. a 12:00 m.",NA,http://psantaana.arquibogota.org.co/es/,Eduard Roa - Secretario,psantaana@arquibogota.org.co,Ninguna,Religioso,Cultural,
Iglesia de Santiago Apóstol,KR 99 # 17A - 62,Fontibón,267 02 74 ,Despacho Lunes a Viernes de 8:00 a.m. a 11:00 m. y de 2:00 p.m. a 5:00 p.m.  - Misas de Lunes a Viernes a las 7:00 a.m.  12:15 m. y 6:30 p.m. - Sábado a las 7:00 a.m. y  6:00 p.m. - Domingo 7:00 a.m.  9:00 a.m.  12:00 m.  5:30 p.m.  7:00 p.m. ,NA,NA,NR,parroquiasantiagoapostolfontibon@yahoo.es,Ninguna,Religioso,Cultural,
Iglesia Inmaculada Concepción de Suba,KR 90 No. 146 C - 40,Suba,692 25 93,"Horario de Misas: Lunes a Sábado 7:00 .am. Y 6:30 p.m., Domingi 7:00 a.m., 9:00 a.m., 10:30 a.m., 12:00 m., 5:30 p.m., 7:00 p.m. Despacho Parroquial: Lunes, Martes, Miércoles y Viernes de 9:00 a.m. a 12:00 m., y de 2:00 p.m. a 5:00 p.m., Sábado de 9:00 a.m. a 12:00m., Jueves no hay despacho",NA,http://www.parroquiainmaculadaconcepciondesuba.com/; http://www.agustinosrecoletos.com.co/es/que-hacemos/parroquias/17-parroquias/59-parroquia-inmaculada-concepcion,NR, info@parroquiainmaculadaconcepciondesuba.com,Ninguna,Religioso,Cultural,
Iglesia La Tercera,"KR 7 # 16 - 07,  Casa Rectoral CL 16 # 7 - 54",Santa Fe,334 62 16,"Abierto Lunes a Viernes de 7:00 a.m. a 5:30 p.m., Sábado de 10:45 a.m. a 1:30 p.m., Domingo de 10:45 a.m. a 1:15 p.m. Eucaristía: Lunes a Viernes 7:30 a.m., 11:30 a.m., 5:00 p.m., Sábado 11:00 a.m. 12:00 m., Domingo 12:00 m. Festivos no esta abierta. Hora Santa (Jueves) 4:00 p.m. a 5:00 p.m., Exposición del Santísimo Sacramento Lunes a Viernes de 8:00 a.m. a 5:00 p.m.",NA,NA,Diana Elsy Morales - Representante Legal,laterceraofs@hotmail.com,Ninguna,Religioso,Cultural,
Iglesia Nuestra Señora de Egipto,KR 3 Este # 10 - 02,Candelaria,342 12 30,"Apertura Lunes a Domingo de 10:00 a.m. a 6:30 p.m.
Eucaristías: Lunes a Jueves 6:00 p.m., Sábado 6:30 p.m., Domingo 7:00 a.m. 12:00 m. y 6:00 p.m. Horario Despacho: Lunes a Viernes de 2:00 p.m. a 6:00 p.m. y Sábado de 2:00 p.m. a 5:00 p.m.
",NA,NA,Yesid Padilla Sacristán,pegipto@arquibogota.org.co,Ninguna,Religioso,Cultural,
